Running for contest :  7
userid ->  4EjD0VpnSaN6nQ1mCgYc34hP4zI2
userid ->  tDxVv0FS5MOYcljWevBsNJbOIsg2
userid ->  eSE66xB0QCOVTaRvBffRNhaOVwz2
userid ->  SYIwmpQWDxNOe7gZvtkjy32V7ir1
userid ->  CmbwAQoypfYrPc12wuuD72qVlFH2
userid ->  IoFLyLUdAgUBTEG0yz9ASlW33zm2
userid ->  wZdEoGtxoFWBZzvIgaaoH1rFvgx1
userid ->  H9NBnb0fdIRQQFrzkQp3vut7zBz1
userid ->  SIjRv2f1b8NCT9qmL73gqWAWCye2
userid ->  dhSns9sExjbOE4XkURyDrKO80tV2
userid ->  NNfQUG4i5SafzYvuQqY4c1iWMOy2
userid ->  GRnOubzLd2QOwibUcXQOoO075802
userid ->  KyjyR4D0JbdL6g53LZgm6r8RoVm2
userid ->  tWvm6xC5BHV1gkUMQQXYwk25nvW2
userid ->  FhUV3gmdHEXOJB1yffA3FWBMj7y1
userid ->  TPRFgogTFhXRgA060eRGNzSY2nd2
userid ->  BGMBjwffcGWfuNZYFDWAU64JTi33
userid ->  MbVEHm6gYshDmUgYNWHQSVapR4y2
userid ->  uxneCLNnUfMY2E8D3SfF2iaxOUU2
userid ->  LI69W0sPQ2Wk9Jn11rHCHwSjQJ32
userid ->  TtYlpuc5SggSiSqyI2P2kztRV2y1
userid ->  tlWL669oCYUEyLNEXie3fPoQBes2
userid ->  sNPEIwTUHQg8wF3Cb1Trs99o3Ir2
userid ->  umca2SZYEiMxqDiNbPisF7DO5Oj1
userid ->  7vFeOPORfqNUac3CZlGuGi0jeTq2
userid ->  uWBoni7TQZb7Tyk3bdvlhuVb38f1
userid ->  urjlSdiSbyV2ai3neVXVaUPn9iA3
userid ->  IcSvFX6VUugsF5Qd5FsGZus0BW43
userid ->  zmGZlq9uzveM4lmT5ZGpHWyF2i22
userid ->  QeK9GtS5eiM4cWd35tBz4EI2HBB2
userid ->  2HKgeCB9VeggXYzqNMbKFrSRuWl1
userid ->  b8UkYKfWb7WDj9MEQzbpeTDNYIL2
userid ->  hWHcIOnisSeJO9WK47saSf1uMgw1
userid ->  ynRVxjtFuqQu8uvVFRAeQu2Je9g1
userid ->  OOH6Li6ltoUe47UUsWHtm26Kad63
userid ->  MvHV0luVKXZQSJ6rmNZtZILfptf2
userid ->  MauIK0t39xVYmLKqhHm6wwMTKFH2
userid ->  hfZLo1QUwnZuIkjyy6Agvp2WUdj2
userid ->  4JCIUfaDQ5c5Td0SDoxhKkrnCqp1
userid ->  bWUtuY0nwAhGpywroBsVu6sKgYS2
userid ->  FlUNu9IG22QauQCQGSGvC4zDtzp1
userid ->  gPvUxi4KarbpM3ogaT1rCqFvovU2
userid ->  pFD4znm3iBUg24IoyN8h5glN0KV2
userid ->  RsSmYuFPhCVqpvc9KL6s3ocNzY02
userid ->  pcZu5wPJLLezZs7XrNqV9tvMcAk1
